标题,介绍
湖北合力斯太尔后双桥清障车,"斯太尔后双桥清障车产品主要技术资料产品名称：斯太尔后双桥清障车外型尺寸(mm)：9500×2500×3550,3600底盘型号：ZZ1256M4646C货厢尺寸(mm)：××总 质……"
东风斯太尔后双桥清障车清障车,产品说明 清障车：该产品集托举，托牵及装载车辆运输于一体，可快速完成对事故车辆的现场施救。有清障平板车，及托吊连体型清障车两种类型……
陕汽清障车,道路清障车是指装备有起重、托举、拖拽等设备，用于清除道路故障车辆及其他障碍物的专用车辆，具有起重、托举、托牵作业于一体的功能……
石煤机SMJ5061TQZAC3型清障车,1. 平板一拖二型清障车，针对安全、可靠、无损伤背拖清理各种事故、违章车辆而设计开发，是一款理想的道路清障车……
厦工楚胜东风凯普特加强型清障车,"产品名称东风凯普特加强型清障车车辆型号HLQ5090TQZP底盘型号EQ1090T9ADJ3AC底盘参数燃料种类柴油依据标准GB3847-2005,GB17691-2005国Ⅲ整车……"
北方交通5090吊托分离轻型清障车,KFM5090TQZ清障车适用于城市道路、郊区公路、高速公路以及机场、桥涵道路之安全清障。工作对象为各种轿车、中小型客货车以及其他在本车技术参数允许范围内的各种专用车辆……
徐工XZJ5160TQZA4吊托组合型清障车,1. 吊臂与托臂分离式结构，大大增加了各种路况现场处理的灵活性；2. 托臂变幅机构首次采用四连杆机构，可同时实现变幅和升降两个动作；3. 双向联动中央控制操作阀，软轴操纵，让操作变……
程力北奔6*4 托吊联体清障车,拖吊连体式清障车主要由底盘、托举机构、起重机构、液压系统、控制系统组成。主要用于道路故障车辆，城市违章车辆及抢险救援等……
楚飞东风153道路清障车,产品名称：东风153道路清障车公告批次：209底盘型号：EQ5161GFJ6排放标准：-总质量：15700(Kg)接近/离去角：24/9(°)额定质量：-(Kg)前悬后悬：1245……
江麓QTZ63F塔头式起重机,? 电气控制系统关键电气元件采用行业知名品牌，如天水二一三、法国施耐德公司的低压电器，可靠性高，便于维护……
三一重工SYT80(T5710-6)塔式起重机,型号SYT80(T5710-6)最大起重力矩990（kN·m）最大起重量6t最大臂长/起重量57m/1.0t塔身截面1.6×1.6m自由高度40.5m起升80/40/8.8回转0~……
方圆QTZ87（PT5510）塔式起重机,PT5510塔式起重机最大工作幅度为55米，同时可以变臂50米、45米、40米等，臂长变化更方便，用户使用更多选择；安装更方便、安全、快捷；2、起升减速机为四轴，实现起升机构卷筒的……
川建M2400(100t)水平臂塔式起重机,SCM-M2400(100t)塔式起重机，是我公司吸收国外塔机技术，自行设计制造的大型上回转自升式塔式起重机……
徐工QTZ100(6013Y-6)塔顶式塔机,最佳的性价比；优越的起重性能；合理的结构设计；严格的制造控制；高安全、高可靠性；人性化设计；便捷的操作性和运输性……
浙江建机ZJD260塔式起重机,……
波坦MC480塔式起重机,波坦公司一直在塔式起重机方面处于领先位置。迄今为止已在全球销售并竖立超过100000台塔机。 目前，该公司在法国、德国、意大利、葡萄牙和中国的工厂生产60余种型号塔式起重机……
利勃海尔26 H快速架设起重机,液压机构使H系列起重机的装卸非常简单。塔架与副臂上的液压缸使得H系列起重机能够迅速移至工作位置。折叠塔架采用绝对密封焊接的实心壁结构……
永茂QD8塔式起重机,随着塔式起重机科技发展，城市建筑密度逐渐加大，建筑物设计构造的复杂化，塔机的拆卸问题不断显现出来，为解决建筑施工后塔机的拆卸问题，我公司自行研发出QD8屋面式起重机……
中建机械QTZ7033塔式起重机,独立高度52m，最大附着高度238m，最大起重量16t……
恒升建机QTZ3008塔机,QTZ3008的性能参数：性能参数及技术指标国内领先，达到国际先进水平a、最大臂长30m;臂长组合每6米递减，最小臂长30米;b、最大起重量2.5t;c、臂尖最大吊重量0.8t;d……
中国现代QTZ500P(XDP8030)平头塔式起重机,平头式塔机——明显降低安装高度，减小安装场地占用，并便于臂节快速拆装，降低运输和仓储成本；*吸收国外技术——比同类塔机降低15%自重，安拆时大为降低对汽车起重机的要求；*起重能力强……
虎霸H5515塔式起重机, 虎霸建机塔机系列20年的研发历程中，在结构设计、电控系统、安全可靠性等技术方面，始终走在行业的前列……
中昇QTZ3200（ZSL3200）平臂塔式起重机,……
欧亚机械EP 8000沥青乳化设备,从18世纪中期，欧洲开始公路养护，在公路养护所有的材料中，效果最好的是乳化沥青……
高远圣工GYRY10A沥青乳化车间, GYRY10A型沥青乳化车间是我公司研制的最新一代沥青乳化设备，其结构简洁，操作方便人性化设计，生产乳化沥青的沥青含量范围广，质量稳定，能够高效地满足各种施工工艺的要求，已广泛应……
飞腾GLR-6乳化改性沥青设备,LR-6型乳化沥青设备，是经过我厂多年的研发并结合用户反馈意见，经多次改进而成的一种新型的乳化沥青生产机组，适用于普通乳化沥青生产……
VSS乳化/改性乳化沥青站, VSS 可以提供各种规格的客户要求的乳化沥青站。这些站可以以批量式、连续式或半连续式的方式生产乳化沥青和改性乳化沥青。 VSS 的乳化沥青设备固定在坚固的钢架托盘上，防锈且涂漆……
广通LRS-6型（导热油型）沥青乳化设备,序号 名 称 单位 数量 产地、备注 1 LRS-6-15KW型乳化机组 套 1 江苏太仓 2 ￠40型沥青调速泵机组 套 1 河北泊头 3 ￠40型乳液调速泵机组 套 2 上海不……
鑫衢沥青乳化设备,该设备采用国内领先的RH-6型胶体磨乳化机设计制造的一种实用型乳化沥青设备，分为智能型独立直热式和独立导热油式乳化沥青生产成套设备，其具有造价低廉、搬动方便、操作简单……
筑马LRS6沥青乳化设备,……
辽筑LRZ—6.0A沥青乳化设备,安装注意事项供给的三相电源应有过载、漏电保护装置……
瑞德EAGER乳化沥青生产设备,EAGER系列乳化沥青生产设备由沥青过渡罐、乳化液掺配罐、成品罐、调速沥青泵、调速乳液泵、乳化主机、成品输送泵、电控柜、大底板管道阀门等组成……
无锡泰特乳化沥青设备,号 名 称 型号或技术参数或外型尺寸 备 注 1设备型号 LRS-62设备产量 1~6t/h3主框架 L*W*H=7900*2000*2200mm4热水罐 容量 4.0m3外型 L……
源流长LRH6000型移动式沥青乳化设备,该设备由沥青过渡罐、乳化液掺配罐、成品罐、调速沥青泵、乳化主机、成品输送泵、电控柜、大底板管道阀门等组成……
路易玛RH6乳化沥青设备,通过胶体磨的高速机械剪切、搅拌和化学温度的方法，是通常高温使用的道路沥青扩散到水中而液化成常温下粘度低、流动性好的道路建筑材料……
天骏机械JQRY06B沥青乳化车间,一.设备用途JQRY06B沥青乳化车间是我公司研制的新一代沥青乳化设备，该设备生产的乳化沥青的沥青含量范围广，质量稳定，能够满足各种施工工艺的要求，已广泛应用在高速公路建设和公路养……
鑫路JM-20胶体磨,外形：1850&times;670&times;780（mm）重量：850Kg功率：55KW/380VAC①不锈钢材质的转子和定子适应了乳化沥青是各种PH值；②内部导热油加温设计为……
美卓巴马克B系列VSI破碎机,巴马克的工作原理巴马克VSI自作用破碎机以破碎操作核心位置处的石料衬转子为特色。此转子可将石料流连续不断地送入巴马克VSI的石料衬破碎腔内……
华重C系列颚式破碎机,由于该颚破给矿口设计的独特，破碎腔为V形腔结构，所以进料粒度更大，排矿口也采用液压调整，具体有以下特点：①腔型采用V型破碎腔，比普通腔型处理量大1.15倍左右，节省能耗10%以上……
世邦VSI系列冲击式破碎机,产品优势处理量大、产量高 2、耐磨件消耗低3、产品粒形优异 4、液压装置、易于维护5、安装简便、易于操作6、自动检测、安全可靠7、一机多用、应用灵活8、稀油润滑、自动保养9、国际品……
山宝PFK1312可逆反击破碎机,型号PFK-1008PFK-1012PFK-1212Pfk1306PFK1312转子工作直径*长度mmφ1000*800φ1000*1200φ1200*1200φ1300*600φ……
一帆机械DSJ系列烘干锤式破碎机,DSJ系列烘干锤式破碎机用于破碎和烘干软质且非磨蚀性物料，如石膏、白垩、粘土、料浆滤饼等，如可对工业副产品石膏、烟气脱硫石膏进行打散、烘干、煅烧，该机生产效率高、能耗低，在烘干的同……
山美SM100DSJ系列烘干锤式破碎机,在石膏板行业，DSJ系列烘干锤式破碎机可将含水量≤12%的脱硫石膏渣料饼通过烘干锤式破碎机的转子将其打散、抛扬，并与引入的550℃热风充分热交换，形成含水量≤1%的物料，物料由出风……
东蒙机械GXF系列高效复合破碎机,产品优势和特点● 粗破、细破合为一体，简化了流程 ● 破碎物料单位能耗降低 ● 设备成本低 ● 维修费用低……
郑州鼎盛DSM锤磨机破碎机, 用于球磨机前完成超细碎作业，极大提高球磨机效率，同时是制砂主力装备2、设备投资相当于辊压机的10~15%，提高磨机产量40%3、易操作，维护成本低、故障率低、系统工艺简单、占地面……
百力克颚式破碎机百力克颚式破碎机, 型号Model参数ParametersPE500×750PE600×900PE800×1100PE950×1250PE1200×1500最大给料粒度 (mm)Max Feedin……
夏洲重工PCKW系列可逆无堵塞细碎破碎机,PCKW可逆无堵塞细碎破碎机性能特点：出料均匀、无筛条无堵塞、生产效率高、破碎比大、低耗能、密封性好污染少、破碎腔易开启、维护方便……
东泷弹簧圆锥式破碎机,弹簧圆锥式破碎机具有更高的生产能力、更高的质量；减少停机时间；便于维修，维修费用低；可在中碎、细碎、超细作业中提供无与伦比的破碎性……
上海建冶立轴冲击式破碎机,PCL立轴冲击式破碎机，也就是制砂机……
凯兴PC系列锤式破碎机,锤式破碎机的主要工作部件为带有锤子（又称锤头）的转子。转子由主轴、圆盘、销轴和锤子组成。电动机带动转子在破碎腔内高速旋转……
克磊镘（KLEEMANN）MC 140 Z 移动颚式破碎设备,"型号： MC140Z 喂料能力约达 700t/h 最大喂料尺寸 1,300*1,000mm 振动喂料机宽*长 1,350*4,100mm 破碎机进口宽*纵向宽度 1,400*1,1……"
卡特彼勒C175-20柴油发电机组,使用 50 Hz 1500 RPM 或 60 Hz 1800 RPM 配置时为 3250 到 4000 ekW、3250 到 4000 kVA，可以为备用、主要和持续发电应用场合提……
威克诺森G 22 - G 78移动发电机,最大的移动发电量G-系列大容量移动发电机在要求最苛刻的工况中仍可提供可靠的电源……
卡特彼勒CG260-12燃气发电机组,从设施的天然气燃料热电联供（CHP）系统和应急供电，到可为当地电网提供支持的可再生沼气能源，再到煤矿瓦斯发电，Caterpillar 拥有广泛而可靠的燃气发电解决方案……
威克诺森G 14移动发电机,一款紧凑型移动发电机，完美适合于较小型施工威克诺森已采用一种新的紧凑型移动发电机，缩小了便携式发电机与移动发电机的差距……
卡特彼勒CG260-16燃气发电机组,从设施的天然气燃料热电联供（CHP）系统和应急供电，到可为当地电网提供支持的可再生沼气能源，再到煤矿瓦斯发电，Caterpillar 拥有广泛而可靠的燃气发电解决方案……
威克诺森GH 3500便携式发电机,特低电压专家GH 3500专用于42 伏/200 赫兹特低电压设备。 此设备使您无需主电源即可在现场极其安全地工作： 42 伏的输出电压对人体无害……
卡特彼勒XQE20发电机组,无论是否由于意外原因而断电，Olympian? Rental Power 都能够确保您持续运营……
"威克诺森G 7AI, GS 12AI便携式发电机",带附加安全功能的全能产品：在供电领域，G-系列便携式发电机是一种全能产品。 可为建筑、工业、商业、农业及自行制作（D-I-Y ）应用提供可靠的电源……
卡特彼勒XQE30发电机组,无论是否由于意外原因而断电，Olympian? Rental Power 都能够确保您持续运营……
威克诺森GV 系列便携式发电机,设有三个性能等级，提供可靠的电源GV系列经济型同步发电机保证在长时间持续工作条件下，提供可靠且持续的电力输出。 GV系列产品包括三种不同性能级别的交流电三相发电机型号……
卡特彼勒XQE60发电机组,无论是否由于意外原因而断电，Olympian? Rental Power 都能够确保您持续运营……
威克诺森GPS 9700V便携式发电机,随时随地为您提供便携式电源高性能便携式发电机，满足您的工作和预算要求。 本款威克诺森发电机设计用于建筑、工业、商业、家庭和农场应用……
恒天九五JVHZ62河堤打桩机,原创性专利产品：专利号201120341460.2 201110269494.X；2、用于斜坡、水面、沼泽、淤泥、凹凸不平等复杂工作面打桩的大型桩机；3、工作装置采用筒式柴油锤或液……
志高ZGHS3500液压高速夯实机,HS3500高速液压夯实机是我公司利用多项专利技术研制的新一代机电液一体化的多功能锤击设备，该机具有高强度、高效率、低能耗、低噪音、环保、便于自动化控制等特点……
上工机械D128筒式柴油打桩锤,项 目单 位参 数上活塞重量Kg12800每次打击能量Nm426500打击次数1/min36-45作用于桩上的最大爆炸力KN3600适宜最大打桩规格（混凝土桩平均值）Kg70000……
海天路矿CFG钻机沉钢筋笼用震动锤,"本锤适用于CFG钻机配套使用,沉钢筋笼用或小型沉管作业.电机功率:11Kw电机功率:18.5Kw电机功率:22Kw……"
振中DZM100/DZM180/YZM04/EP800H液压振动锤,◆我公司和北京建设机械化研究院合作开发的EP800H型全液压调频调幅超高频振动锤，是一种超高频率振动和不停机的情况下可任意、方便、连续地实现无级调整振动频率和振幅的理想拔桩设备，该……
上海振中DZP系列免共振变频振动锤,DZP系列免共振变频电机振动锤是我公司自主研发的新型产品。改系列产品配备具有自主产权的变频耐振电机，配合变频器和能量转换器实现快速软启动和软停机，避免机械共振现象的产生……
永安DZJ-600零启动系列振动锤,我公司生产的各种型号振动锤是引进国外先进技术，根据我国国情而设计的新型产品，其性能指标得到同类产品的国际先进水平……
卡特彼勒XQE100发电机组,无论是否由于意外原因而断电，Olympian? Rental Power 都能够确保您持续运营……
威克诺森GPS 6600A便携式发电机,坚固耐用、功能强大的发电机，适用于要求最苛刻的施工现场设计用于建筑租赁和其它要求苛刻的应用，这些坚固耐用、结构紧凑的高性能便携式发电机提供无与伦比的工具启动和电压调节功能……
富岛机械YD7全液压多功能打桩机,1)采用了折叠桅杆结构，结构简单，便于运输。2)立柱与联接臂联接处采用十字轴座的结构，立柱不仅可以前后调节，而且可以左右调幅，在地面不平的地方仍然能够保证其垂直度……
上工机械D138筒式柴油打桩锤,项 目单 位参 数上活塞重量Kg13800每次打击能量Nm459800打击次数1/min36-45作用于桩上的最大爆炸力KN3900适宜最大打桩规格（混凝土桩平均值）Kg80000……
振中DZ系列振动桩锤,"我公司生产的各种型号振动锤是引进国外先进技术,根据我国国情而设计的新型产品，其性能指标达到同类产品的国内先进水平……"
上海振中YZPJ系列液压振动锤,产品描述:YZPJ无级可调偏心力矩和频率的液压振动桩锤是我公司和北京建筑机械化研究院共同开发的新型系列产品。是目前国内外最先进的液压振动锤之一……
永安DZJ-480零启动系列振动锤,我公司生产的各种型号振动锤是引进国外先进技术，根据我国国情而设计的新型产品，其性能指标得到同类产品的国际先进水平……
富岛机械YD5多功能全液压打桩机,    YD系列打桩机是根据不同的锤头重量级别，分别有YD5、YD6、YD7等型号的打桩机……
上工机械D160筒式柴油打桩锤,项 目单 位参 数上活塞重量Kg16000每次打击能量Nm533000打击次数1/min36-45作用于桩上的最大爆炸力KN4500适宜最大打桩规格（混凝土桩平均值）Kg12000……
湖南飞涛18米桥梁检测车,一、主要特点机械及动力传动系统：★ 解放J6型桥梁检测车专业底盘+进口本田备用汽油机动力★ 履带驱动行走支撑方式★ 关键结构件采用进口高强钢材，配合进口高强焊丝焊接★ 通用结构件采……
恒润高科HHR5253JQJ08桥梁检测车,一、产品介绍：恒合牌桥梁检测作业车是在吸取国际先进桥梁检测作业车精华的基础上设计开发的高科技产品，结构紧凑，操作方便灵活，作业范围广，安全可靠……
石煤机SMJ5310JQJ18型检测车,SMJ5310JQJ18桥梁检测车，是一种适用于大、中型桥梁的病害维修和预防性检查作业的专用车辆，主要功能为对桥梁下面各结构进行全面的检查、修理、油漆、喷砂、安装、拆卸，包括对桥梁……
华中建机电动双梁桥式起重机,双梁桥式起重机其结构特点是具有起升及运行机构的小车位于桥架上运行，金属结构为箱形双主梁形式……
徐工12米臂架式桥梁检测车,·双动力系统 ·液压系统部分进口·进口原装遥控器·比例式操作·工作平台液压伺服调平·桥下检修状态全程监控·工作平台负载实时监控臂架式桥梁检测作业车特点·控制阀 进口电液比例控制阀，……
泰沃LB防爆单梁桥式起重机,LB型防爆电动单梁起重机是在“LDA”的基础上，根据GB3836.1-2000《爆炸性环境用防爆电气设备》及GB3836.2-2000《爆炸性环境用电气设备隔型电气设备“d”》设计……
恒润高科HHR5251JQJ16桥梁检测车,一、产品介绍：恒合牌桥梁检测作业车是在吸取国际先进桥梁检测作业车精华的基础上设计开发的高科技产品，结构紧凑，操作方便灵活，作业范围广，安全可靠……
盛华源门式起重机,门式起重机是桥式起重机的一种变形……
华中建机HZQ系列步履式架桥机,步履式架桥机是依托市场需要、根据现场实际工况要求、结合我公司现有的成功经验、博众家之长、经过细心设计和精心制造而产生的一种新型架桥机……
华中建机电动单梁桥式起重机,单梁桥式起重机其结构特点是电动葫芦或手动单轨小车沿主梁工字钢下翼缘运行，进行物料搬运作业，通常用于车间、仓库等物料搬运作业，其中手动单梁起重机用于不允许用电或无电源场合……
北方重工EBZ240掘进机,EBZ240掘进机经济切割硬度≤85MPa，最大切割硬度≤100MPa（层里节理发育沉积岩），该机采用了国内外成熟的元部件高品质配置设计，整机可靠性高、重心低……
山特重工铣挖头掘进机,该公司公司最新推出掘进机，煤矿机械，工程机械，隧道机械，矿山机械，扒装机，扒渣机，电动挖掘机，电动防爆扒渣机，电动防爆挖掘机，卸煤机，履带式扒渣机，履带式挖掘机，履带式防爆扒渣机，……
中传重装EBZ132标准型掘进机,该机适用于煤巷、半煤岩巷以及软岩巷道的快速掘进，也可在铁路、公路、水力工程等隧道施工中使用。最大定位截割断面22m2，最大截割硬度为70MPa。爬坡能力为±18°……
厦工TBM 硬岩掘进机,"分为敞开式TBM，单护盾TBM，双护盾TBM,斜井TBM及竖井TBM……"
辽宁通用EBZ160A掘进机,Ⅰ、适用范围EBZ160A悬臂式掘进机是专用于圆形煤巷、半煤岩巷道掘进工程的掘进设备，也可在铁路、公路、水利工程等隧道施工中使用，能实现连续切割、装载、运输作业……
郑州煤机EBZ160掘进机,掘进机为用于开凿地下隧道及碎石的移动装置，并可去除岩石碎片及其他碎片。集团于2010年开始设计及测试掘进机样机……
林州重机EBZ系列掘进机,……
北方交通EBZ200E煤炭掘进机,主要特点： 截割头单刀力大，截齿布置合理，破岩过断层能力强，最大截割硬度f8，经济截割硬度f6……
徐工16米臂架式桥梁检测车,·双动力系统 ·液压系统部分进口·进口原装遥控器·比例式操作·工作平台液压伺服调平·桥下检修状态全程监控·工作平台负载实时监控臂架式桥梁检测作业车特点·控制阀 进口电液比例控制阀，……
盛华源公铁两用架桥机,  公铁两用架桥机为我公司自主研发的步履式新型公铁两用架桥机，该架桥机是一种运行工作范围广、性能优良、操作方便、结构安全的钢结构预制梁吊装架设设备……
泰沃LH双梁桥式起重机,"LH型电动葫芦桥式起重机是电动葫芦配置成葫芦小车,桥架采用中轨箱型梁,大小车运行机构采用”三合一”传动方式,具有外型尺寸紧凑、建筑净空高度低、自重轻、体积小,结构简单等优点……"
大方DF30/70型架桥机,1.最大起重量:70t2.适用桥梁跨径:≮30m3.适用桥梁纵坡:&plusmn;3%4.小车额定升降速度:0.9 m/min5.车额定纵型速度:4.28m/min6.大车纵(横)……
徐工EBZ135掘进机,整机体积小，动作灵活，矮机身设计，适用于大倾角、矮巷道掘进；配有内、外喷雾系统，有效抑制粉尘；采用弧形线星轮装载，减少回煤，装载效率高；集中润滑系统，降低维护工作量，设备可靠性高；……
厦金XJ953IIIC隧道装载机掘进机/车,厦金侧卸机 特别优势：低油耗、高品质的涡轮增压发动机，动力性能好，扭矩储备大。加大加强型驱动桥（Q桥），加强后车架，提高倾翻载荷，行走更平稳，作业不易翘尾巴……
冀中能源ZDY系列多功能掘进机,对掘进巷道的瓦斯和水含量进行提前探测，对巷道的顶及两侧帮进行锚杆锚固工作，可成功避免掘进中出现瓦斯突出、透顶、透水等重大事故，还可以在巷道断面、巷道顶面及巷道两侧面进行垂直钻孔作业……
国际煤机EBH350重型掘进机,·机重125t；·全新智能化设计，可实现轨迹跟踪，自动切割等功能；·具备超强的截割能力，配套瑞典山特维克“S”级截齿，单轴抗压强度最大可达到130MPa；·截割部采用可伸缩横轴设计……
石煤机EBH300(A)岩石掘进机,EBH300(A)岩石掘进机适用于硬度f≤13的岩巷、半煤岩巷的掘进，也可在公路、铁路、水利等隧道施工工程中使用。采用计算机控制，整机实现全无线遥控控制，智能成型切割和恒功率切割……
山河智能EBZ260掘进机,整机配置高、技术先进、可靠性好、重心低、机器稳定性好；截割部不伸缩，采用国际上最先进的轴承与截齿等，破岩能力强；截割电机刚性增强、结构简单化、维修方便、使用寿命长……
厦金XJ968-25卷钢堆高机,卷钢叉装机竞争优势：自重： 产品自重30吨，比其它品牌重约3—5.5吨。发动机：节能专利型潍柴175KW/h动力（达235马力）……
永恒力EMC 110/B10步行式电动堆垛机,安全舒适的堆垛存取作业所有的提升及下降功能集成在舵头上，这样不仅仅避免了操作者需要绕开舵柄靠近车体，而且还保证了操作者与货物之间保持安全的距离。此外在货架上进行精确的堆垛作业……
科朗ES 4000系列步行式堆高机,步行式堆高机具有广泛的应用范围且跨越不同的行业……
双力集装箱专用堆高机,集装箱叉车集装箱叉车叉 车 参 数 表 系列型号主要性能参数集装箱专用叉车CPCD60KX3CPCD70KX3CPCD100KX3CXCD100DC16EC4DC16EC5额定起重……
海斯特H40.00XM~H50.00XM-16CH堆高机,海斯特集装箱专用装卸机械，滑架重量轻，且免维护，使承载力最大化；Cummins QSB系列工业发动机，带重载空气滤清器和发动机保护系统，动力清洁强劲，尾气排放符合对NRMM的Tie……
合力CPCD180EC5-Vo型集装箱空箱堆高机,合力CPCD180EC5-Vo型集装箱空箱堆高机可应用在集装箱制造、维修企业，集装箱中转站，港口等场所，进行集装箱空箱的搬运和堆垛……
大连叉车FD420五层重箱作业叉车,叉车型号：FD420 设备代码:额定起重量(Kg)：25000 最大起升高度(mm)：12500 吊具形式：上属具 载荷中心距(mm)：1220 最大起升速度(mm/s)：200 ……
三一重工SDCY90K7H集装箱空箱堆高机,·工业化造型设计产品，造型优美，驾驶舒适。·三一专利技术的SYMC通用工程机械运动控制器。·水平可旋转吊具与双箱吊具，轮胎磨损小，工作效率高。·重叠式结构门架，操作视野好……
厦金XJ968-28卷钢堆高机,产品自重31吨；节能专利型潍柴175KW/h（达235马力）动力，内带多项专利、节能、稳定、更加适用于灰尘多的作业环境；前轮配装贵州“前进”三颗星26.5钢丝胎，后轮配“前进”牌2……
永恒力EJC 110n/112n步行式电动堆垛机,新一代的三相交流电机技术永恒力三相交流电机技术在为您提供更强大的工作能力的同时还降低了运营成本……
科朗ET 4000 系列站驾式堆高机,步行式堆高机具有广泛的应用范围且跨越不同的行业……
海斯特H16.00XM~H22.00XM-12EC堆高机,独特的两级门架提升系统( 1:4提升率)，可延长油缸使用寿命，提高提升速度；Cummins QSB系列工业发动机，带重载空气滤清器和发动机保护系统，动力清洁强劲，尾气排放符合对NR……
合力CPCD250EC7-Vo型集装箱空箱堆高机,合力CPCD250EC7-Vo型集装箱空箱堆高机可应用在集装箱制造、维修企业，集装箱中转站，港口等场所，进行集装箱空箱的搬运和堆垛……
大连叉车FD180五层空箱作业叉车,……
海麟重工斯太尔单桥水罐消防车,专用部分由液罐、泵室、器材箱、动力输出及传动系统、管路系统、电气系统等组成……
程力斯太尔单桥水罐消防车,专用部分由液罐、泵室、器材箱、动力输出及传动系统、管路系统、电气系统等组成……
江麓SXD09多功能履带式森林消防车,SXD09多功能履带式森林消防车是公司和武警森林指挥部在对我国南北森林地区的地形地貌、森林火灾火情、灭火理念和方法，以及现有的森林消防装备进行充分调查研究的基础上研制而成的森林专用……
江特江特国四2立方消防洒水车,【主要技术参数】产品商标江特牌公告批次255产品名称绿化喷洒车产品型号JDF5040GPSB4型绿化喷洒车总质量(Kg)3620罐体容积(m3)1.26额定载质量(Kg)1200外……
楚飞重汽后双桥（12.3立方）水罐消防车,重汽后双桥水罐 消防车-主要技术参数产品名称：重汽后双桥消防车-JDF5280GXFSG120Z公告批次：229底盘型号：ZZ1257M4647C排放标准：-总质量：27600(K……
厦工楚胜泡沫消防车-EQ1126KJ1,"产品名称泡沫消防车 车辆型号WHG5120GXFPM40 底盘型号 EQ1126KJ1 底盘参数 燃料种类柴油依据标准GB3847-2005,GB17691-2005第三阶段 整车……"
海伦哲SGX5330GXFPM180型泡沫消防车,SGX5330GXFPM180型泡沫消防车选用Mercedes-Benz Actros3332底盘改制而成……
陕汽德龙F3000 8吨水罐消防车,水罐消防车主要装备消防水泵，水罐及水枪、水炮等，适合扑救一般性火灾，是公安消防队和企事业专职消防队常备的消防车辆……
中联重科ZLJ5150JXFYT25型多功能云梯消防车,ZLJ5150JXFYT25型多功能云梯消防车产品简介：? 中联牌ZLJ5150JXFYT25型云梯消防车是我公司在已有举高类消防车辆产品基础上，结合消防作战的实际需求，通过对原有……
济南重汽STEYR王系列消防车, 中国重汽特种车公司根据国内消防车实际需求，在技术成熟的斯太尔王底盘基础上进行适应性变更，开发出的更适合消防工作需要，更贴合用户需求的新一代四开门消防用车底盘……
豪士科PUC 泵车,亮点消防泵车匹尔斯独有的Control Zone?泵面板布局采用不锈钢管路和符合人体工学的控制装置，根据不同功能和颜色编码进行分组，确保布局合理。10年结构保修……
东风斯太尔水罐消防车消防车,整车备注：罐体有效容积：水罐15.0立方米多方位图：需要更多资料及产品图片请直接与我公司联系……
山推DG20B登高平台消防车,"产品特点：● 折曲式臂架结构,作业幅度大、跨越障碍能力强。● 进口电液比例控制系统,作业平稳,微动性好。● 进口发电机组及大功率照明系统。● 进口应急动力装置……"
徐工DG32C登高平台消防车,德国奔驰Axor2628底盘；3节伸缩臂+1节折叠臂结构；工作平台最大负载400kg，工作平台上预留救生通道，可通过多种渠道实施救援；整机具有半边作业工况，配置集中润滑系统；电液比……
江特久龙牌9.45方加油车{上户无忧},产品号ZL2D24WP033批次275产品IDP7158551发布日期20150812生产地址湖北省随州市经济开发区波导大道9号目录序号(十七)08总质量(kg)11495整备质量……
东正东风福瑞卡加油车,圆形罐体，容积3-6立方米，可装2-5吨柴油，采用4mm专用板，配电脑税控加油机，15米加油卷盘(带加油枪)，工作仓设罐体前部，配加油泵系统，能泵进泵出，装流量表，配输油管两根，灭……
厦工楚胜国四解放J6前四后八运油车,"产品名称：运油车车辆型号CLQ5310GYY4CA底盘型号CA5310GYYP63K2L6T4E4底盘参数燃料种类柴油依据标准GB3847-2005,GB17691-2005国IV……"
东风斯太尔四轴油罐运输车油罐车,产品说明 油罐车：专用性能特点：碳钢结构或不锈钢罐体，可内忖滚塑或玻璃钢板。可独立分仓，分装不同的油品，可选装自吸泵或齿轮泵，可实现泵进、泵出或自流……
楚飞解放小三轴运油车/22.2立方油罐车,"产品名称：CLQ5251GYY3CA公告批次：240底盘型号：CA1251P1K2L7T3EA80排放标准：-总质量：25000(Kg)接近/离去角：15/9,15/10(°)额定……"
陕汽德龙6×4液罐运输车,★ 具有高动力性、高可靠性、高安全性、低油耗、低重心等优点。◇ 罐体容积18-20方，最高车速95km/h，经济车速55-70km/h，适合在复合型工况下使用……
湖北合力东风天龙前四后八加油车,"东风天龙前四后八加油车产品主要技术资料产品名称：东风天龙前四后八加油车外型尺寸(mm)：11990×2500×3160,3690底盘型号：DFL1311A3货厢尺寸(mm)：××总……"
江特东风多利卡国四加油车,产品商标程力威牌公告批次270产品名称加油车产品型号CLW5081GJYD4型加油车总质量(Kg)8275罐体容积(m3)5.66额定载质量(Kg)3775外形尺寸(mm)7000……
东正东风小霸王油车,东风小霸王加油车主要技术参数产品名称：东风小霸王加油车外型尺寸：5995×2000×2300(mm)底盘型号：EQ1040TJ20D3货厢尺寸：××(mm)总质量：4495(kg)……
厦工楚胜东风小多利卡5吨加油车,加油车产品主要技术参数产品名称：加油车外形尺寸(mm)：5990×2050×2500底盘型号：EQ1070T35DJ3AC货厢尺寸(mm)：××总 质 量(kg)：7495接近/离……
东风斯太尔前四后八油罐车油罐车,产品说明 油罐车：专用性能特点：碳钢结构或不锈钢罐体，可内忖滚塑或玻璃钢板。可独立分仓，分装不同的油品，可选装自吸泵或齿轮泵，可实现泵进、泵出或自流……
